Name,From,To,Country,Type,Unit,SpecificWeight,Volume,N,Norg,Nmin,N-slow,N-ureum,NH4,NO3,N-Amide,P2O5,K2O,MgO,CaO,SO3,Na2O,Cl,Cu,Co,B,Mo,Fe,Mn,Zn,SiO2,Se,Pb
NK 9+9+13.5SO3,24-Feb-12,,NL,MAN,KG,,,9,,,,,,,,,9,,,13.5,,,,,,,,,,,,
NP 12+52,24-Feb-12,,NL,MAN,KG,,,12,,,,,,,,52,,,,,,,,,,,,,,,,
NP 20+20 + 0.1B,24-Feb-12,,NL,MAN,KG,,,20,,,,,,,,20,,,,,,,,,0.1,,,,,,,
NP 20+25 + 3MgO + 0.6B,24-Feb-12,,NL,MAN,KG,,,20,,,,,,,,25,,3,,,,,,,0.6,,,,,,,
NP 20+40 + 0.1B,24-Feb-12,,NL,MAN,KG,,,20,,,,,,,,40,,,,,,,,,0.1,,,,,,,
NP 26+12 + 0.2B,24-Feb-12,,NL,MAN,KG,,,26,,,,,,,,12,,,,,,,,,0.2,,,,,,,
NP 26+8 + 10SO3,24-Feb-12,,NL,MAN,KG,,,26,,,,,,,,8,,,,10,,,,,,,,,,,,
NPK 12+9+20+17.5 SO3,24-Feb-12,,NL,MAN,KG,,,12,,,,,,,,9,20,,,17.5,,,,,,,,,,,,
NPK 13+13+21,24-Feb-12,,NL,MAN,KG,,,13,,,,,,,,13,21,,,5,,,,,,,,,,,,
NPK 14+10+20+14 SO3,24-Feb-12,,NL,MAN,KG,,,14,,,,,,,,10,20,,,14,,,,,,,,,,,,
NPK 14+8+24,24-Feb-12,,NL,MAN,KG,,,14,,,,,,,,8,24,,,,,,,,,,,,,,,
Wuxal Suspensie Magnesium,24-Feb-12,,NL,MAN,LIT,1.5,,15,,,,,,,,,,8,,,,,0.05,,0.02,0.001,0.1,0.05,0.05,,,
Wuxal Suspensie Nr. 1,24-Feb-12,,NL,MAN,LIT,1.5,,20,,,,,,,,,15,4,,,,,0.05,,0.02,0.001,0.1,0.05,0.05,,,
Zintrac 700,24-Feb-12,,NL,MAN,LIT,1.75,,,,,,,,,,,,,,,,,,,,,,,40,,,
Flex NP 20+6 Micro nutriënten,24-Feb-12,,NL,MAN,LIT,1.21,,19.5,,,,,,,,5.8,,,,2,,,,,,,,,,,,
Flex Aardappel N 18 Ca B,24-Feb-12,,NL,MAN,LIT,1.24,,17.7,,,,,,,,,,,7.8,,,,,,0.64,,,,,,,
Flex Aardappel NP 9+18 S B Zn,24-Feb-12,,NL,MAN,LIT,1.28,,8.8,,,,,,,,17.7,,,,2,,,,,0.5,,,,0.5,,,
Flex Aardappel NP 7+18 S B Zn,24-Feb-12,,NL,MAN,LIT,1.25,,7.8,,,,,,,,17.7,,,,0.8,,,,,0.5,,,,0.3,,,
Flex N 24,24-Feb-12,,NL,MAN,LIT,1.22,,23.7,,,,,,,,,,,,7.5,,,,,,,,,,,,
Flex NP 15+10 Na B,24-Feb-12,,NL,MAN,LIT,1.2,,14.7,,,,,,,,9.7,,,,0.3,5.1,,,,0.3,,,,,,,
Flex Blad N 18 Mg S,24-Feb-12,,NL,MAN,LIT,1.2,,17.7,,,,,,,,0.1,,1.5,,6.1,,,,,,,,,,,,
Flex NP 13+18 B Zn,24-Feb-12,,NL,MAN,LIT,1.27,,12.7,,,,,,,,17.8,,,,2,,,,,0.5,,,,0.3,,,
Stikstofmagnesia,24-Feb-12,,NL,MAN,KG,,,22,,,,,,,,,,7,10.2,,,,,,,,,,,,,
Kencica Zwavel-N,24-Feb-12,,NL,MAN,KG,,,26,,,,,,,,,,,,35,,,,,,,,,,,,
N-Zomerzout,24-Feb-12,,NL,MAN,KG,,,20,,,,,,,,,,,,,11,,,,,,,,,,,
Flex Maïs NP 18+14 B,24-Feb-12,,NL,MAN,LIT,1.26,,17.7,,,,,,,,13.7,,,,1.1,,,,,0.5,,,,,,,
Krista-K,24-Feb-12,,NL,MAN,KG,,,13.5,,,,,,,,,38,,,,,,,,,,,,,,,
Multi-K Extra,24-Feb-12,,NL,MAN,KG,,,13,,,,,,,,,38,2.5,,,,,,,,,,,,,,
Kalisalpeter + MgO,24-Feb-12,,NL,MAN,KG,,,12,,,,,,,,,42,4,,,,,,,,,,,,,,
Magnisal,24-Feb-12,,NL,MAN,KG,,,11,,,,,,,,,,16,,,,,,,,,,,,,,
Esta Kieseriet (fijn),24-Feb-12,,NL,MAN,KG,,,,,,,,,,,,,27,,54,,1.6,,,,,,,,,,
HydroComplex Sprinter,24-Feb-12,,NL,MAN,KG,,,20,,,,,,,,10,10,2,,8.2,,,,,0.015,,,0.02,0.02,,,
HydroComplex Grower,24-Feb-12,,NL,MAN,KG,,,16,,,,,,,,6,21,2,,9.5,,,,,0.015,,,0.02,0.02,,,
NPK Extra,24-Feb-12,,NL,MAN,KG,,,15,,,,,,,,7,15,3,,,,,,,,,,,,,,
Stimana Balans,24-Feb-12,,NL,MAN,KG,,,14,,,,,,,,7,5,6,6,,6,,,0.02,,,,,,,,
Flex Blad N 18 Ca Mg Mn,24-Feb-12,,NL,MAN,LIT,1.2,,17.7,0.2,,,,,,,0.2,,1.5,6.6,,,,,,,,,0.3,,,,
HydroComplex Partner,24-Feb-12,,NL,MAN,KG,,,12.4,,,,,,,,11.4,17.7,2.6,,20,,,,,0.015,,,0.02,0.02,,,
NPK 12+12+17,24-Feb-12,,NL,MAN,KG,,,12,,,,,,,,12,17,2,,6,,,,,,,,,,,,
NPK Super,24-Feb-12,,NL,MAN,KG,,,12,,,,,,,,8,16,5,5,,,,,,,,,,,,,
NPK 5+12+24,24-Feb-12,,NL,MAN,KG,,,5,,,,,,,,12,24,,,6.6,,,,,,,,,,,,
Stimafos 10,24-Feb-12,,NL,MAN,KG,,,20,,,,,,,,10,,,,,6,,,,0.05,,,,,,,
Stimafos 20,24-Feb-12,,NL,MAN,KG,,,20,,,,,,,,20,,4,,,,,,,0.05,,,,,,,
Kencica Groeistart,24-Feb-12,,NL,MAN,KG,,,20,,,,,,,,10,,6,,,,,,,0.05,,,,,,,
Vloeibare Maïs-Map,24-Feb-12,,NL,MAN,LIT,1.35,,18.8,,,,,,,,18.8,,,,,,,,,0.2,,,,,,,
Stimafos 18/12,24-Feb-12,,NL,MAN,KG,,,18,,,,,,,,12,,4,,,5,,0.3,0.02,,,,,,,,
Stimafos 18/6,24-Feb-12,,NL,MAN,KG,,,18,,,,,,,,6,,5,5,,6,,0.3,0.02,,,,,,,,
Eco 14+14+7 MgO,24-Feb-12,,NL,MAN,KG,,,14,,,,,,,,14,,7,,,8,,0.3,0.02,,,,,,,,
Eco 16+9+7 MgO,24-Feb-12,,NL,MAN,KG,,,16,,,,,,,,9,,7,,,8,,0.2,0.02,,,,,,,,
Stimana Plus,24-Feb-12,,NL,MAN,KG,,,14,,,,,,,,7,,6,6,,6,,,,,,,,,,,
NP 11.5+5.6+2.2B,24-Feb-12,,NL,MAN,KG,,,11.5,,,,,,,,5.6,,,7.4,38.9,,,,,2.2,,,,,,,
Hydran,24-Feb-12,,NL,MAN,KG,,,22,,,,,,,,,15,,,13,,,,,,,0.5,0.02,0.02,,,
NK 15+20+5MgO,24-Feb-12,,NL,MAN,KG,,,15,,,,,,,,,20,5,,19,,,,,,,,,,,,
NK Speciaal,24-Feb-12,,NL,MAN,KG,,,15,,,,,,,,,15,5,6,,,,,,,,,,,,,
PK 16+36,24-Feb-12,,NL,MAN,KG,,,,,,,,,,,16,36,,10.5,4,,,,,,,,,,,,
PK 10+30,24-Feb-12,,NL,MAN,KG,,,,,,,,,,,10,30,,,10,,,,,,,,,,,,
PK 7+40,24-Feb-12,,NL,MAN,KG,,,,,,,,,,,7,40,,10.8,9.8,,,,,,,,,,,,
Borium-Vloeibaar,24-Feb-12,,NL,MAN,LIT,1.33,,,,,,,,,,,,,,,,,,,11.3,,,,,,,
Wuxal Folibor,24-Feb-12,,NL,MAN,LIT,1.36,,,,,,,,,,,,,,,,,,,11,,,,,,,
Boronat 32,24-Feb-12,,NL,MAN,KG,,,,,,,,,,,0.03,0.5,1,11.2,6.7,8.3,3,,,10,,0.15,0.004,,,,
HydroPlus Borium,24-Feb-12,,NL,MAN,LIT,1.38,,,,,,,,,,,,,,,,,,,5.7,,,,,,,
Weidezout Kobalt 0.3%,24-Feb-12,,NL,MAN,KG,,,,,,,,,,,,,0.17,0.25,0.53,50,58.8,,0.3,,,,,,,,
Coptrel 500,24-Feb-12,,NL,MAN,LIT,1.523,,,,,,,,,,,,,,,,,32.8,,,,,,,,,
HydroPlus Kopernitraat,24-Feb-12,,NL,MAN,LIT,1.38,,5.3,,,,,,,,,,,,,,,12,,,,,,,,,
Fertichel Koper,24-Feb-12,,NL,MAN,LIT,,,,,,,,,,,,,,,,,,5,,,,,,,,,
Weidezout Koper 3.5%,24-Feb-12,,NL,MAN,KG,,,,,,,,,,,,,0.17,0.27,0.22,47.5,55.2,3.5,,,,,,,,,
Thomaskali 8+15+6 MgO,24-Feb-12,,NL,MAN,KG,,,,,,,,,,,8,15,6,20,10,,,,,,,,,,,,
Zinflow 700,24-Feb-12,,NL,MAN,LIT,1.759,,,,,,,,,,,,,,,,,,,,,,,40,,,
Wuxal Aminocal,24-Feb-12,,NL,MAN,LIT,1.35,,,,,,,,,,,,,15,,,,,,,,,0.5,0.5,,,
HydroPlus Zinknitraat,24-Feb-12,,NL,MAN,LIT,1.46,,6,,,,,,,,,,,,,,,,,,,,,14,,,
Sporumix A,24-Feb-12,,NL,MAN,KG,,,,,,,,,,,,,25,,,,,1.2,0.05,0.07,0.025,,0.6,0.1,,,
Sporumix B,24-Feb-12,,NL,MAN,KG,,,,,,,,,,,,,25,,,,,0.7,0.05,0.6,0.025,,,0.3,,,
Wuxal Microplant,24-Feb-12,,NL,MAN,LIT,1.5,,5,,,,,,,,,10,3,,,,,0.5,,0.3,0.01,1,1.5,1,,,
Entec 14+7+17,24-Feb-12,,NL,MAN,KG,,,14,,,,,,,,7,17,2,,27,,,,,0.02,,,,0.01,,,
Kalkstikstof,24-Feb-12,,NL,MAN,KG,,,21,,,,,,,,,,,60,,,,,,,,,,,,,
Entec 25+15,24-Feb-12,,NL,MAN,KG,,,25,,,,,,,,15,,,,,,,,,,,,,,,,
IJzerchelaat,24-Feb-12,,NL,MAN,LIT,1.31,,,,,,,,,,,,,,,,,,,,,6,,,,,
Basfoliar 36 Extra,24-Feb-12,,NL,MAN,LIT,1.35,,27,,,,,,,,,,3,,,,,0.2,,,0.005,0.02,1,0.01,,,
Basfoliar Combi-stipp,24-Feb-12,,NL,MAN,LIT,1.5,,9,,,,,,,,,,1,15,,,,,,0.2,,,0.4,0.01,,,
Basfoliar 12+4+6,24-Feb-12,,NL,MAN,LIT,1.2,,12,,,,,,,,4,6,,,,,,0.01,,0.01,0.001,,0.01,0.005,,,
Nutribor,24-Feb-12,,NL,MAN,LIT,0.65,,6,,,,,,,,,,5,,22.5,,,,,8,0.04,,1,0.1,,,
Selon,24-Feb-12,,NL,MAN,LIT,,,5.8,,,,,,,,11.2,9.1,,,33,,,,,,,,,,,,
Aspergezout,24-Feb-12,,NL,MAN,KG,2.17,,,,,,,,,,,,10,,,38.5,,,,,,,,,,,
Caltrac,24-Feb-12,,NL,MAN,LIT,1.686,,,,,,,,,,,,,33,,,,,,,,,,,,,
Copper Pholate,24-Feb-12,,NL,MAN,LIT,1.32,,,,,,,,,,,,,,,,,7,,,,,,,,,
Ferleaf,24-Feb-12,,NL,MAN,LIT,1.31,,,,,,,,,,,,,,,,,,,,,7.6,,,,,
Fosforzuur 59%,24-Feb-12,,NL,MAN,LIT,1.42,,,,,,,,,,42.5,,,,,,,,,,,,,,,,
Kalksalpeter vloeibaar,24-Feb-12,,NL,MAN,LIT,1.5,,8.7,,8.7,,,,,,,,,17.5,,,,,,,,,,,,,
Kopersulfaat (pentahydraat),24-Feb-12,,NL,MAN,KG,,,,,,,,,,,,,,,,,0.015,25.4,,,,0.03,,0.013,,,
Phosamco,24-Feb-12,,NL,MAN,LIT,1.172,,8.5,,8.5,,,,,,3.4,6,,,,,,0.1,,0.02,0.003,,0.11,0.06,,,
Super Spoor Maxi Fe 95,24-Feb-12,,NL,MAN,KG,,,,,,,,,,,,,,,,,,,,,,6,,,,,
Tenso Fe 6%,24-Feb-12,,NL,MAN,KG,,,,,,,,,,,,,,,,,,,,,,6,,,,,
Wuxal 8+8+6,24-Feb-12,,NL,MAN,LIT,1.235,,8,,8,,,,,,8,6,,,,,,0.007,,0.01,0.001,0.015,0.013,0.005,,,
Zwavelzuur 44.1%,24-Feb-12,,NL,MAN,LIT,1.35,,,,,,,,,,,,,,35.3,,,,,,,,,,,,
Flex Blad N 18 Mg Ca Mn,24-Feb-12,,NL,MAN,LIT,1.25,,17.7,,,,,,,,0.2,,3.2,4,,,,,,,,,0.4,,,,
NPK 22+8+8 + 3MgO,24-Feb-12,,NL,MAN,KG,,,22,,22,,,,,,8,8,3,,,,,,,,,,,,,,
Aardbeimix,24-Feb-12,,NL,MAN,KG,,,15.4,,,,,,,,14.7,7.2,3.7,,27.1,,,,,,,,,,,,
Preimix chloorarm,24-Feb-12,,NL,MAN,KG,,,20,,,,,,,,,10,4,,13,,,,,,,,,,,,
Fertichel IJzer,24-Feb-12,,NL,MAN,LIT,,,,,,,,,,,,,,,10,,,,,,,5,,,,,
Fertichel Stip,24-Feb-12,,NL,MAN,LIT,1.25,,,,,,,,,,,,,8.4,,,,,,,,,,,,,
Fertichel Zink,24-Feb-12,,NL,MAN,LIT,,,,,,,,,,,,,,,10,,,,,,,,,5,,,
Graszout Geel,24-Feb-12,,NL,MAN,KG,,,,,,,,,,,,,,,,50,57.1,,,,,,,,,,
Thomaskali 11+11+4 MgO,24-Feb-12,,NL,MAN,KG,,,,,,,,,,,11,11,4,,10,,,,,,,,,,,,
EPSO Combitop,24-Feb-12,,NL,MAN,KG,,,,,,,,,,,,,13,,32,,,1,,,,,3,2,,,
Wuxal Suspensie Nr. 3,24-Feb-12,,NL,MAN,LIT,1.6,,10,,,,,,,,,20,2,,,,,0.05,,0.02,0.001,1,0.05,0.05,,,
Wuxal P-Profi,24-Feb-12,,NL,MAN,LIT,1.29,,5,,,,,,,,20,5,,,,,,0.05,,0.02,0.001,0.1,0.05,0.05,,,
Kristalon Blauwmerk,24-Feb-12,,NL,MAN,KG,,,19,,,,,,,,6,20,3,,6.7,,,0.01,,0.025,0.004,0.07,0.04,0.025,,,
Kristalon Geel,24-Feb-12,,NL,MAN,KG,,,13,,,,,,,,40,13,,,0.9,,,0.01,,0.025,0.004,0.07,0.04,0.025,,,
Kristalon Lila,24-Feb-12,,NL,MAN,KG,,,19,,,,,,,,6,6,1,,39.4,,,0.01,,0.025,0.004,0.07,0.04,0.025,,,
Kristalon Oranje,24-Feb-12,,NL,MAN,KG,,,6,,,,,,,,12,36,3,,22,,,0.01,,0.025,0.004,0.07,0.04,0.025,,,
Kristalon Rood,24-Feb-12,,NL,MAN,KG,,,12,,,,,,,,12,36,1,,1.8,,,0.01,,0.025,0.004,0.07,0.04,0.025,,,
Kristalon Speciaal,24-Feb-12,,NL,MAN,KG,,,18,,,,,,,,18,18,3,,5,,,0.01,,0.025,0.004,0.07,0.04,0.025,,,
Kristalon Witloof,24-Feb-12,,NL,MAN,KG,,,15,,,,,,,,5,30,3,,5,,,0.01,,0.025,0.004,,0.04,0.025,,,
Kristalon Witmerk,24-Feb-12,,NL,MAN,KG,,,15,,,,,,,,5,30,3,,5.9,,,0.01,,0.025,0.004,0.07,0.04,0.025,,,
Multi-Cal K,24-Feb-12,,NL,MAN,KG,,,14,,,,,,,,,28,,,,,,,,,,,,,,,
NP 23+7,24-Feb-12,,NL,MAN,KG,,,23,,,,,,,,7,,,,,,,,,,,,,,,,
NP 24+8 + 17.5SO3,24-Feb-12,,NL,MAN,KG,,,24,,,,,,,,8,,,,17.5,,,,,,,,,,,,
NK 17+17 (preimix),24-Feb-12,,NL,MAN,KG,,,17,,,,,,,,,17,,,,,,,,,,,,,,,
NPK 11+15+28 chloorhoudend,24-Feb-12,,NL,MAN,KG,,,11,,,,,,,,15,28,,,,,,,,,,,,,,,
NPK 13+5+17+3MgO+18SO3,24-Feb-12,,NL,MAN,KG,,,13,,,,,,,,5,17,3,,18,,,,,,,,,,,,
NK 15+15 chloorarm,24-Feb-12,,NL,MAN,KG,,,15,,,,,,,,,15,,,,,,,,,,,,,,,
NPK 15+5+16+3MgO+4SO3,24-Feb-12,,NL,MAN,KG,,,15,,,,,,,,5,16,3,,4,,,,,,,,,,,,
NPK 15+5+20+2MgO,24-Feb-12,,NL,MAN,KG,,,15,,,,,,,,5,20,2,,,,,,,,,,,,,,
NPK 17+17+17 chloorhoudend,24-Feb-12,,NL,MAN,KG,,,17,,,,,,,,17,17,,,,,,,,,,,,,,,
NK 17.5+18+3MgO,24-Feb-12,,NL,MAN,KG,,,17.5,,,,,,,,,18,3,,,,,,,,,,,,,,
PK 11+21,24-Feb-12,,NL,MAN,KG,,,,,,,,,,,11,21,,,,,,,,,,,,,,,
PK 13+28,24-Feb-12,,NL,MAN,KG,,,,,,,,,,,13,28,,,,,,,,,,,,,,,
Gafsa zacht natuurfosfaat,24-Feb-12,,NL,MAN,KG,,,,,,,,,,,27,,,37,,,,,,,,,,,,,
Kristalon Grijs,24-Feb-12,,NL,MAN,KG,,,6,,,,,,,,12,36,3,,20,,,0.01,,0.025,0.004,,0.04,0.025,,,
Kristalon Zwart,24-Feb-12,,NL,MAN,KG,,,18,,,,,,,,6,24,2,,4.6,,,0.01,,0.025,0.004,,0.04,0.025,,,
Magnesiumnitraat,24-Feb-12,11-Jun-12,NL,MAN,LIT,1.38,,6.9,,,,,,,,,,8,,,,,,,,,,2.7,,,,
Unika Kali,24-Feb-12,,NL,MAN,KG,,,13,,,,,,,,,45,,,,,,,,,,,,,,,
Fervent Greenleaf,24-Feb-12,11-Jun-12,NL,MAN,LIT,1.29,,6,,,,,,,,,,7.8,,,,,,,,,,1.2,,,,
Mais-Map 27+10 + 0.2B,24-Feb-12,,NL,MAN,KG,,,27,,,,,,,,10,,,,,,,,,0.2,,,,,,,
NPK 15+8+24 chloorhoudend,24-Feb-12,,NL,MAN,KG,,,15,,,,,,,,8,24,,,,,,,,,,,,,,,
NPK 21+7+14,24-Feb-12,,NL,MAN,KG,,,21,,,,,,,,7,14,,,,,,,,,,,,,,,
Kristalon Azur,24-Feb-12,,NL,MAN,KG,,,20,,,,,,,,5,10,3,,25,,,0.01,,0.025,0.004,0.07,0.04,0.025,,,
NPK 14+10+24,24-Feb-12,,NL,MAN,KG,,,14,,,,,,,,10,24,,,,,,,,,,,,,,,
NPK 3+10+30,24-Feb-12,,NL,MAN,KG,,,3,,,,,,,,10,30,,,,,,,,,,,,,,,
Kaliumfosfiet,24-Feb-12,11-Jun-12,NL,MAN,KG,,,,,,,,,,,44,58,,,,,,,,,,,,,,,
ACS Kaliumfosfiet Plus,24-Feb-12,,NL,MAN,LIT,1.4,,3,,,,,,,,27,18,,,,,,,,,,,,,,,
ACS Magnesiumnitraat,24-Feb-12,,NL,MAN,LIT,1.33,,6.8,,,,,,,,,,10,,,,,,,,,,,,,,
ACS Mangaannitraat 235,24-Feb-12,,NL,MAN,LIT,1.56,,7.7,,,,,,,,,,,,,,,,,,,,15,,,,
Agripotash 500,24-Feb-12,,NL,MAN,LIT,1.515,,,,,,,,,,,33,,,,,,,,,,,,,,,
ATS-oplossing,24-Feb-12,,NL,MAN,LIT,1.3,,12,,,,,,,,,,,,26,,,,,,,,,,,,
Caltrac ZB,24-Feb-12,,NL,MAN,LIT,1.724,,,,,,,,,,,,,32.4,,,,,,0.2,,,,1.8,,,
Coptrel Blauw 400,24-Feb-12,,NL,MAN,LIT,1.523,,,,,,,,,,,,,,,,,26.3,,,,,,,,,
Ferritrac 54,24-Feb-12,,NL,MAN,LIT,1.391,,,,,,,,,,,,,,,,,,,,,3.9,,,,,
Manamag,24-Feb-12,,NL,MAN,LIT,1.56,,,,,,,,,,,,23.4,,,,,,,,,,8,0.6,,,
Resistim,24-Feb-12,,NL,MAN,LIT,1.22,,,,,,,,,,14.4,10.9,,,,,,,,,,,,,,,
Zinc-metalosate,24-Feb-12,,NL,MAN,LIT,1.25,,,,,,,,,,,,,,,,,,,,,,,6.8,,,
Zwavel F3000,24-Feb-12,,NL,MAN,LIT,1.321,,,,,,,,,,,,,,25.7,,,,,,,,,,,,
NP 9+14 (Kemira),24-Feb-12,,NL,MAN,KG,,,9,,,,,,,,14,,,,38,,,,,,,,,,,,
Bluesulfaat,24-Feb-12,,NL,MAN,TON,1.21,,80,,,,,,,,,,,,225,,,,,,,,,,,,
Anasol,24-Feb-12,,NL,MAN,TON,1.25,,150,,,,,,,,,,,,100,,,,,,,,,,,,
Nitrosol,24-Feb-12,,NL,MAN,TON,,,150,,,,,,,,,,,,10,,,,,,,,,,,,
Powerstart,24-Feb-12,,NL,MAN,LIT,1.492,,,,,,,,,,44,7.5,6.7,,,,,,,,,,,4.6,,,
NP 26+6 + Zwavel 11SO3,24-Feb-12,,NL,MAN,KG,,,26,,,,,,,,6,,,,11,,,,,,,,,,,,
Fersoil,24-Feb-12,,NL,MAN,LIT,1.31,,,,,,,,,,,,,,,,,,,,,3.2,,,,,
Wortelmix,24-Feb-12,11-Jun-12,NL,MAN,KG,,,3.3,,,,,,,,8.8,24.3,2.8,,,,,,,,,,,,,,
Kemistar,24-Feb-12,,NL,MAN,KG,,,22,,,,,,,,8,,,,5,,,,,,,,,,,,
Ammoniumsulfaat,24-Feb-12,,NL,MAN,KG,,,21,,,,,,,,,,,,,,,,,,,,,,,,
Flex NP 22+8 Zn B,24-Feb-12,,NL,MAN,LIT,1.25,,21.8,,,,,,,,7.8,,,,2,,,,,0.5,,,,0.3,,,
Masterkali,24-Feb-12,,NL,MAN,KG,,,16,,,,,,,,,20,2,,,,,,,,,,,,,,
Gips,24-Feb-12,11-Jun-12,NL,MAN,KG,,,11,,,,,,,,,,16,,,,,,,,,,,,,,
Tuba,24-Feb-12,,NL,KLK,KG,,,,,,,,,,,,,,30,45,,,,,,,,,,,,
Tuba Plus,24-Feb-12,,NL,MAN,LIT,1.2,,,,,,,,,,14.4,10.9,,,,,,,,,,,,,,,
Profikali,24-Feb-12,,NL,MAN,LIT,1.2,,6.3,,,,,,,,9.6,8.3,,,,,,,,,,,,,,,
PPL,24-Feb-12,,NL,MOR,KG,,,15,,,,,,,,,22,,,,,,,,,,,,,,,
PPL-plus,24-Feb-12,,NL,MOR,TON,,,25,5,20,,,,,,13,75,,,20,,5,,,,,,,,,,
NatuC,24-Feb-12,,NL,MOR,TON,,,13,4,9,,,,,,7,150,,,160,,5,,,,,,,,,,
Kalimix,24-Feb-12,,NL,MOR,TON,1.82,,15,10,5,,,,,,10,240,1.5,,300,,,,,,,,,,,,
NPK 12+6+18 + 3MgO,24-Feb-12,,NL,MAN,KG,,,12,,,,,,,,6,18,3,,,,,,,,,,,,,,
NPK 14+12+24,24-Feb-12,11-Jun-12,NL,MAN,KG,,,14,,,,,,,,12,24,,,,,,,,,,,,,,,
NPK 13+4+26,24-Feb-12,,NL,MAN,KG,,,13,,,,,,,,4,26,,,,,,,,,,,,,,,
NPK 13+10+23 + 6SO3,24-Feb-12,,NL,MAN,KG,,,13,,,,,,,,10,23,,,6,,,,,,,,,,,,
Maisbooster,24-Feb-12,,NL,MAN,LIT,,,14,,,,,,,,29,,,,,,,,,,,,,6,,,
Perlka,24-Feb-12,,NL,MAN,KG,,,20,,,,,,,,,,,55,,,,,,,,,,,,,
NK 9+36 chloorarm,24-Feb-12,,NL,MAN,KG,,,9,,,,,,,,,36,,,,,,,,,,,,,,,
NP 26+4,24-Feb-12,,NL,MAN,KG,,,26,,,,,,,,4,,,,,,,,,,,,,,,,
Algospeed 5+23+36,24-Feb-12,,NL,MAN,KG,,,5,,,,,,,,23,36,3,,,,,0.002,,0.01,0.001,0.07,0.01,0.002,,,
Algospeed Flo 15+15+15,24-Feb-12,,NL,MAN,LIT,1.5,,15,,,,,,,,15,15,2,6,,,,0.002,,0.01,0.001,0.07,0.01,0.002,,,
Humifirst,24-Feb-12,,NL,MAN,LIT,,,16,,,,,,,,11,,,,,,,,,,,,,,,,
Power Basic 20+10+0+7 SO3,24-Feb-12,,NL,MAN,LIT,,,20,,,,,,,,10,,,,7,,,,,,,,,,,,
Ureum oplossing 40%,24-Feb-12,,NL,MAN,LIT,1.95,,40,,,,,,,,,,,,,,,,,,,,,,,,
Ijzersulfaat,24-Feb-12,,NL,MAN,KG,,,,,,,,,,,,,,,,,,,,,,19.7,,,,,
Flex Pootgoed NP 12+16 S B Zn,24-Feb-12,,NL,MAN,LIT,1.24,,11.7,,,,,,,,15.7,,,,2,,,,,0.4,,,,0.3,,,
NPK 14+7+20,24-Feb-12,,NL,MAN,KG,,,14,,,,,,,,7,20,,,,,,,,,,,,,,,
Spruitenmix 15+0+20 + 3MgO + 7,24-Feb-12,,NL,MAN,KG,,,15,,,,,,,,,20,3,,7,,,,,,,,,,,,
Florisan,24-Feb-12,,NL,MAN,LIT,,,,,,,,,,,,,,,,,,,,,,,,,,,
Magnum HF,24-Feb-12,,NL,MAN,LIT,1.5,,20,,,,,,,,,15,4,,,,,0.05,,0.02,0.001,0.1,0.05,0.05,,,
Calvin HF,24-Feb-12,,NL,MAN,LIT,1.4,,10,,,,,,,,,,2,15,,,,,,0.03,,,0.4,0.01,,,
Top Trace Magnesiumnitraat,24-Feb-12,11-Jun-12,NL,MAN,LIT,1.35,,6.9,,,,,,,,,,8,,,,,,,,,,2.9,,,,
Total Care,24-Feb-12,,NL,MAN,LIT,1.21,,9.3,,,,,,,,0.9,1.9,1.9,,,,,,,,,,0.9,,,,
Pre-Tect,24-Feb-12,,NL,MAN,KG,,,,,,,,,,,,,,,,,,0.5,,,,10,2,2,,,
NP 27+4 + 10SO3,24-Feb-12,,NL,MAN,KG,,,27,,,,,,,,4,,,,10,,,,,,,,,,,,
Flex Biet NP 18+1 Na B,24-Feb-12,,NL,MAN,LIT,1.2,,18,,,,,,,,1.3,,,,,5.25,,,,0.88,,,,,,,
Flex Biet NP 16+7 Na B,24-Feb-12,,NL,MAN,LIT,1.21,,15.7,,,,,,,,6.7,,,,0.7,4,,,,0.1,,,,,,,
