Name,From,To,Country,Type,Unit,SpecificWeight,Volume,N,Norg,Nmin,N-slow,N-ureum,NH4,NO3,N-Amide,P2O5,K2O,MgO,CaO,SO3,Na2O,Cl,Cu,Co,B,Mo,Fe,Mn,Zn,SiO2,Se,Pb
Flex Maïs NP 18+14 B Zn,24-Feb-12,,NL,MAN,LIT,1.24,,17.7,,,,,,,,13.7,,,,0.9,,,,,0.2,,,,0.2,,,
Flex Pootgoed NP 7+18 B S Zn,24-Feb-12,,NL,MAN,LIT,1.25,,7.8,,,,,,,,17.7,,,,1.6,,,,,0.5,,,,0.4,,,
Flex Maïs NP 22+5 B,24-Feb-12,,NL,MAN,LIT,1.25,,21.8,,,,,,,,4.8,,,,1.5,,,,,0.3,,,,,,,
Flex Kool NP 22+5 B Mg,24-Feb-12,,NL,MAN,LIT,1.26,,21.7,,,,,,,,4.7,,1.2,,3.5,,,,,0.5,,,,,,,
Foliarel N-Plus,24-Feb-12,,NL,MAN,LIT,1.25,,28,,,,,,,,,,,,,,,,,,,,,,,,
NPK 13.5+10+21,24-Feb-12,,NL,MAN,KG,,,13.5,,,,,,,,10,21,,,,,,,,,,,,,,,
NK Mix 14+0+27,24-Feb-12,,NL,MAN,KG,,,14,,,,,,,,,27,,,,,,,,,,,,,,,
Power Start Food,24-Feb-12,,NL,MAN,LIT,1.49,,,,,,,,,,29.5,5,,,,,,,,,,,,,,,
Power Start Feed,24-Feb-12,,NL,MAN,LIT,,,10.4,,,,,,,,21.5,,,,,,,,,,,,,,,,
Power Basic 11+31+ 6 SO3,24-Feb-12,,NL,MAN,LIT,,,11,,,,,,,,31,,,,6,,,,,,,,,,,,
Power Basic 13+20+10 SO3,24-Feb-12,,NL,MAN,LIT,,,13,,,,,,,,20,,,,10,,,,,,,,,,,,
Power Basic 20+6 SO3,24-Feb-12,,NL,MAN,LIT,,,20,,,,,,,,,,,,6,,,,,,,,,,,,
Power Basic 26+6 SO3,24-Feb-12,,NL,MAN,LIT,,,26,,,,,,,,,,,,6,,,,,,,,,,,,
Power Basic 24+2+4.3 SO3,24-Feb-12,,NL,MAN,LIT,,,24,,,,,,,,2,,,,4.3,,,,,,,,,,,,
Power Basic 24+7.7 SO3,24-Feb-12,,NL,MAN,LIT,,,24,,,,,,,,,,,,7.7,,,,,,,,,,,,
Power Basic 20+5+10 SO3,24-Feb-12,,NL,MAN,LIT,,,20,,,,,,,,5,,,,10,,,,,,,,,,,,
Power Basic 22+6+6 SO3,24-Feb-12,,NL,MAN,LIT,,,22,,,,,,,,6,,,,5,,,,,,,,,,,,
Power Basic 21+2.5 SO3,24-Feb-12,,NL,MAN,LIT,,,21,,,,,,,,,,,,2.5,,,,,,,,,,,,
Power Leaf Mangaan Magnesium N,24-Feb-12,,NL,MAN,LIT,,,7.8,,,,,,,,,,,,,,,,,,,,,,,,
Power Leaf Quattro Plus,24-Feb-12,,NL,MAN,LIT,,,18,,,,,,,,,,,,10,,,,,,,,,,,,
Power Leaf Trio Plus,24-Feb-12,,NL,MAN,LIT,,,18,,,,,,,,,,,,6.1,,,,,,,,,,,,
Vercal Extra,24-Feb-12,,NL,MAN,LIT,1.25,,12,,,,,,,,,,2.4,18,,,,,,,,,,,,,
DCM Bloedmeel,24-Feb-12,,NL,MOR,KG,,,13,13,,,,,,,,,,,,,,,,,,,,,,,
Bloedmeel N13,24-Feb-12,,NL,MOR,KG,,,12,9.6,2.4,,,,,,,,,,,,,,,,,,,,,,
Culterra Verrijkte Koemest,24-Feb-12,,NL,MOR,KG,0.65,,7,,,,,,,,3,4,1.05,5,3.8,,0.7,,,,,,,,,,
D.P.F.,24-Feb-12,,NL,MOR,TON,1.2,,10,9.9,0.1,,,,,,0.5,115,0.1,,20,,,,,,,,,,,,
GFT-landbouwcompost (RET),,,NL,MOR,TON,,,10,9,1,,,,,,4.5,7.3,2.4,17,,,,0.0265,,,,,,0.1081,,,
Groencompost,24-Feb-12,,NL,MOR,TON,,,1.8,1.8,,,,,,,0.2,1.2,,,,,,,,,,,,0.04,,,
Schorscompost,24-Feb-12,,NL,MOR,TON,,,2,2,,,,,,,0.2,0.4,0.3,,,0.2,,,,,,,,,,,
Heidecompost,24-Feb-12,,NL,MOR,TON,,,4,4,,,,,,,0.41,,,,,,,,,,,,,0.016,,,
Veen,24-Feb-12,,NL,MOR,TON,,,8.5,7.5,1,,,,,,4.5,8,2.5,10,,,,0.03,,,,,,0.1,,,
Biocal Solid,24-Feb-12,,NL,MOR,TON,,,9.37,8.43,0.94,,,,,,18.73,1.52,,,,,,0.0102,,,,,,0.0462,,,
Org-e-vit,24-Feb-12,,NL,MOR,KG,,,4,3.6,0.4,,,,,,2.5,2.3,1.1,9.3,,,,,,,,,,,,,
Fertor,24-Feb-12,,NL,MOR,KG,,,4.5,4.1,0.4,,,,,,2.7,2.3,1.1,9.3,,,,,,,,,,,,,
Radovit,24-Feb-12,,NL,MOR,KG,,,4.7,3.9,0.8,,,,,,2.5,3,1,3,,,,,,,,,,,,,
Activit,24-Feb-12,,NL,MOR,KG,,,3.6,3.24,0.36,,,,,,2.8,2.2,1.5,2,,,,,,,,,,,,,
Fertiplus-P,24-Feb-12,,NL,MOR,KG,,,4,3.6,0.4,,,,,,10,2,0.5,14,0.5,0.4,0.4,,,,,,,,,,
Fertiplus-K,24-Feb-12,,NL,MOR,KG,,,4,3.6,0.4,,,,,,2,10,0.5,9,29,14,4,,,,,,,,,,
Fertiplus,24-Feb-12,,NL,MOR,KG,,,4.3,3.9,0.4,,,,,,3.2,3.2,1,2.1,,0.5,0.5,,,,,,,,,,
Terra-vit,24-Feb-12,,NL,MOR,KG,,,2.5,2.2,0.3,,,,,,1.8,1.8,0.6,3,,,,,,,,,,,,,
Siforga-Balans,24-Feb-12,,NL,MOR,KG,,,4,3.6,0.4,,,,,,4,4,1.1,9.3,,,,,,,,,,,,,
Siforga-N,24-Feb-12,,NL,MOR,KG,,,7,6,1,,,,,,4,4,,,,,,,,,,,,,,,
Siforga-K,24-Feb-12,,NL,MOR,KG,,,5,4.6,0.4,,,,,,3,8,0.8,9.1,,,,,,,,,,,,,
Monterra-N+,24-Feb-12,,NL,MOR,KG,,,13,11.5,1.5,,,,,,,0.5,,,,,,,,,,,,,,,
Beendermeel,24-Feb-12,,NL,MOR,KG,,,6,0.4,,,,,,,16,,,,,,,,,,,,,,,,
Guano,24-Feb-12,,NL,MOR,KG,,,14,9.8,,,,,,,11,3,0.4,12,,,,,,,,,,,,,
Verenmeel,24-Feb-12,,NL,MOR,KG,,,14,,,,,,,,,,,,,,,,,,,,,,,,
DCM Mix 1,24-Feb-12,,NL,MOR,KG,,,6,4,2,,,,,,7,8,,,,,,,,,,,,,,,
DCM Mix 5,24-Feb-12,,NL,MOR,KG,,,10,4.5,5.5,,,,,,4,8,3,,,,,,,,,,,,,,
DCM Mix 6,24-Feb-12,,NL,MOR,KG,,,6,3.5,2.5,,,,,,3,18,3,,,,,,,,,,,,,,
DCM ECO-Mix 1,24-Feb-12,,NL,MOR,KG,,,9,9,,,,,,,3,3,,,,,,,,,,,,,,,
Haspargit,24-Feb-12,,NL,MOR,KG,,,,,,,,,,,3,21,7,21,,,,,,,,,,,,,
Nutricel,24-Feb-12,,NL,MOR,TON,1.5,,6,4.5,1.5,,,,,,2,25,0.2,,2.5,,,,,,,,,,,,
Cerecal Solid,24-Feb-12,,NL,MOR,TON,,,5.1,,,,,,,,12.4,0.6,2.8,,,,,,,,,,,,,,
Bavacal Solid,24-Feb-12,,NL,MOR,TON,,,8.2,,,,,,,,8.4,1.5,3.1,,,,,,,,,,,,,,
Biopost,24-Feb-12,,NL,MOR,TON,,,9.2,8.8,0.4,,,,,,3.6,8.3,2.2,,4,,,,,,,,,79,,,
Trobas Solid,24-Feb-12,,NL,MOR,TON,,,11.6,10.8,0.8,,,,,,3.7,2,0.4,,,,,,,,,,,,,,
Zeer schone compost,24-Feb-12,,NL,MOR,TON,,,10,9,1,,,,,,4.5,7.3,2.4,17,,,,0.0265,,,,,,0.1081,,,
Kalvergier (bewerkt),24-Feb-12,,NL,MOR,TON,1.3,,3.2,0.1611,3.0389,,,,,,6.8,6.8,0.2,,0.8,1,,,,,,,,,,,
Geiten drijfmest (60),24-Feb-12,,NL,MOR,TON,0.8,,8.8,4.49,4.31,,,,,,4.1,10.6,3.5,,0.24,1.9,,,,,,,,,,,
Ezels vaste mest,24-Feb-12,,NL,MOR,TON,0.7,,5,4,1,,,,,,3,5.5,1.8,,,,,,,,,,,,,,
Damherten vaste mest,24-Feb-12,,NL,MOR,TON,0.7,,7.1,5.68,1.42,,,,,,5.3,5.5,1.8,,,,,,,,,,,,,,
Struisvogels vaste mest,24-Feb-12,,NL,MOR,TON,0.535,,23.1,17.0976,6.0024,,,,,,18.7,17.1,6.3,,3.8,7.3,,,,,,,,,,,
Edelherten vaste mest,24-Feb-12,,NL,MOR,TON,0.7,,7.1,5.68,1.42,,,,,,5.3,5.5,1.8,,,,,,,,,,,,,,
Waterbuffel drijfmest,24-Feb-12,,NL,MOR,TON,,,4.5,0.8,3.7,,,,,,1.9,4.9,1.3,,0.72,,,,,,,,,,,,
Waterbuffel vaste fmest,24-Feb-12,,NL,MOR,TON,,,4.5,0.8,3.7,,,,,,1.9,4.9,1.3,,0.72,,,,,,,,,,,,
Ganzen vaste mest (Knobbelgans,24-Feb-12,,NL,MOR,TON,0.9,,8.9,6.5736,2.3264,,,,,,8.1,7,1.6,,3.8,0.8,,,,,,,,,,,
Ganzen vaste mest (Grauwe gans,24-Feb-12,,NL,MOR,TON,0.9,,8.9,6.5736,2.3264,,,,,,8.1,7,1.6,,3.8,0.8,,,,,,,,,,,
Fazantenmest,24-Feb-12,,NL,MOR,TON,0.6,,32.6,29.34,3.26,,,,,,17.7,18.5,4.8,,2.2,1,,,,,,,,,,,
Patrijzenmest,24-Feb-12,,NL,MOR,TON,0.6,,32.6,29.34,3.26,,,,,,17.7,18.5,4.8,,2.2,1,,,,,,,,,,,
Emoemest,24-Feb-12,,NL,MOR,TON,0.65,,23.1,21,2.1,,,,,,18.7,15.45,4.9,,2.4,1.5,,,,,,,,,,,
Nandoemest,24-Feb-12,,NL,MOR,TON,0.65,,23.1,21,2.1,,,,,,18.7,15.45,4.9,,2.4,1.5,,,,,,,,,,,
Vleesduivenmest,24-Feb-12,,NL,MOR,TON,0.65,,23.1,21,2.1,,,,,,18.7,15.45,4.9,,2.4,1.5,,,,,,,,,,,
Bruine rattenmest,24-Feb-12,,NL,MOR,TON,0.6,,11.9,9.0425,2.8575,,,,,,11.7,11,5.7,,0.24,2.2,,,,,,,,,,,
Tamme muizenmest,24-Feb-12,,NL,MOR,TON,0.6,,11.9,9.0425,2.8575,,,,,,11.7,11,5.7,,0.24,2.2,,,,,,,,,,,
Caviamest,24-Feb-12,,NL,MOR,TON,0.6,,11.9,9.0425,2.8575,,,,,,11.7,11,5.7,,0.24,2.2,,,,,,,,,,,
Goudhamstermest,24-Feb-12,,NL,MOR,TON,0.6,,11.9,9.0425,2.8575,,,,,,11.7,11,5.7,,0.24,2.2,,,,,,,,,,,
Gerbilmest,24-Feb-12,,NL,MOR,TON,0.6,,11.9,9.0425,2.8575,,,,,,11.7,11,5.7,,0.24,2.2,,,,,,,,,,,
DCM Vivikali,24-Feb-12,,NL,MOR,KG,,,2,2,,,,,,,,20,,,,,,,,,,,,,,,
TopTrace Inca,24-Feb-12,,NL,MAN,LIT,1.3,,4.8,,,,,,,,,,,5,,,,,,,,,,1,,,
Plonuran,24-Feb-12,,NL,MAN,LIT,1.34,,,,,,,,,,,,,,,,,22.4,,,,,,,,,
N-Eco 18,24-Feb-12,,NL,MAN,LIT,,,18,,,,,,,,,,,,,,,,,,,,,,,,
Novurea,24-Feb-12,,NL,MAN,KG,,,46,,,,,,,,,,,,,,,,,,,,,,,,
Novurea + S,24-Feb-12,,NL,MAN,KG,,,38.5,,,,,,,,,,,,18,,,,,,,,,,,,
Turbo (Ammoniumsulfaat),24-Feb-12,,NL,MAN,KG,,,21,,,,,,,,,,,,,,,,,,,,,,,,
Fertraat,24-Feb-12,11-Jun-12,NL,MOR,TON,1.2,,7.5,0.5,7,,,,,,0.1,11,,,,,,,,,,,,,,,
Masterbietenzout,24-Feb-12,11-Jun-12,NL,MAN,KG,,,,,,,,,,,,,,,,50,,,,0.2,,,,,,,
NK 16-32,24-Feb-12,,NL,MAN,KG,,,16,,,,,,,,,32,,,,,,,,,,,,,,,
Sulfammo 18,24-Feb-12,,NL,MAN,KG,,,18,,,,,,,,,18,1,,6,,,,,,,,,,,,
Sulfammo 20,24-Feb-12,,NL,MAN,KG,,,20,,,,,,,,,,3,,35,,,,,,,,,,,,
Sulfammo 26,24-Feb-12,,NL,MAN,KG,,,26,,,,,,,,,,3,,28,,,,,,,,,,,,
NK 16-30,24-Feb-12,,NL,MAN,KG,,,16,,,,,,,,,30,,,,,,,,,,,,,,,
Physiostart,24-Feb-12,,NL,MAN,KG,,,8,,,,,,,,28,,,,23,,,,,,,,,2,,,
NPK 10-10-28,24-Feb-12,,NL,MAN,KG,,,10,,,,,,,,10,28,,,,,,,,,,,,,,,
NP 10-34 vloeibaar,24-Feb-12,,NL,MAN,LIT,1.4,,10,,,,,,,,34,,,,,,,,,,,,,,,,
Top Trace Total N,24-Feb-12,,NL,MAN,LIT,1.13,,17.4,,,,,,,,,,0.8,,,,,,,,,,0.3,,,,
Bladkali TS,24-Feb-12,,NL,MAN,LIT,1.2,,,,,,,,,,,25,,,42,,,,,,,,,,,,
Kali-50,24-Feb-12,,NL,MAN,KG,,,,,,,,,,,,41.6,,,,,,,,,,,,,,,
Wuxal suspensie (combi Mg),24-Feb-12,,NL,MAN,LIT,1.5,,20,,,,,,,,,15,4,,,,,0.05,,0.02,0.001,0.1,0.05,0.05,,,
NP 20-11,24-Feb-12,,NL,MAN,KG,,,20,,,,,,,,11,,,,,,,,,,,,,,,,
Flex 1345 Bloembol NPK 19+8+1,24-Feb-12,,NL,MAN,LIT,1.2,,19,,,,,,,,8,1,,,,,,,,,,,,,,,
Flex 1278 Tulp NPK 16+10+1,24-Feb-12,,NL,MAN,LIT,1.17,,15.7,,,,,,,,9.7,1,1.2,,4.4,,,0.2,,,,,0.7,0.4,,,
Flex 1416 Kool NPK 22-+2+1,24-Feb-12,,NL,MAN,LIT,1.2,,21.7,,,,,,,,2,1,,,,,,,,,,,,,,,
Flex 1255 Blad N 18,24-Feb-12,,NL,MAN,LIT,1.2,,17.7,,,,,,,,0.2,,1.5,6.6,,,,,,,,,0.3,,,,
Flex 1280 Lelie NP 17+9,24-Feb-12,,NL,MAN,LIT,1.21,,16.7,,,,,,,,8.6,,1.2,,1.1,,,,,,,,0.3,,,,
GS Growsol Ammoniumsulfaat,24-Feb-12,,NL,MAN,KG,1.2,,3.33,,,,,,,,,,,,8.33,,,,,,,,,,,,
Xurian Optimum,24-Feb-12,,NL,MAN,KG,,,,,,,,,,,,,,,,,,,,5,,,,0.8,,,
PRP Sol,24-Feb-12,,NL,KLK,KG,,,,,,,,,,,,,8,35,,,,,,,,,,,,,
Digestaat Betafert (dikke fractie),15-Apr-12,,NL,MOR,TON,,,4.5,1,3.5,,,,,,2.5,4.5,0.5,,,,,,,,,,,,,,
Digestaat Betafert (dunne fractie),15-Apr-12,,NL,MOR,TON,,,8,4,4,,,,,,7,5.5,1.8,,,,,,,,,,,,,,
Masterkali 13-0-25,10-Oct-12,,NL,MAN,KG,,,13,,,,,,,,,28,2,1.6,23,,,,,,,,,,,,
Step Hi-mag,10-Oct-12,,NL,MAN,KG,,,,,,,,,,,,,19.9,,19.7,,,0.5,,,,8,3,1,,,
Nutrisphere,10-Oct-12,,NL,MAN,KG,,,46,,46,,,,,,,,,,,,,,,,,,,,,,
Jett,10-Oct-12,,NL,MAN,LIT,,,,,,,,,,,,,23.5,,,,,,,,,,,,,,
Vegetal+,10-Oct-12,,NL,MAN,LIT,,,11.5,,,,,,,,7.6,5.7,,,,,,,,,,,,,,,
Mag500,10-Oct-12,,NL,MAN,LIT,,,,,,,,,,,,,50,,,,,,,,,,,,,,
Spirit,10-Oct-12,,NL,MAN,LIT,,,8,,,,,,,,,,5.3,,26,,,,,,,,19.5,,,,
Efficien-n-t-28,10-Oct-12,,NL,MAN,LIT,1.25,,28,,,,,,,,,,,,,,,,,,,,,,,,
Humostart,10-Oct-12,,NL,MAN,KG,,,11,,,,,,,,50,,,,,,,,,,,,,1,,,
Alloy-Basis,10-Oct-12,,NL,MAN,KG,,,,,,,,,,,,,16.9,29.6,,0.15,,2.7,0.001,0.04,0.004,0.18,0.16,,,,
Alloy-Mangaan Speciaal,10-Oct-12,,NL,MAN,KG,,,,,,,,,,,,,15,26.9,,,,,,,,1.7,10,,,,
Betafert,10-Oct-12,,NL,MOR,TON,,,3.9,0.9,3,,,,,,1.1,3.5,,,,,,,,,,,,,,,
DCM Mix 2,,,NL,MAN,KG,,,7,,,,,,,,6,12,4,,,,,,,,,,,,,,
Magnitra,,,NL,MAN,LIT,1.35,,7,,,,,,,,,,10,,,,,,,,,,,,,,
Mangaan-/Magnesiumnitraat,,,NL,MAN,LIT,,,7.8,,,,,,,,,,10,,,,,,,,,,1.6,,,,
Kaliumfosfiet,,,NL,MAN,LIT,1.41,,,,,,,,,,30,20,,,,,,,,,,,,,,,
NPK 14+12+24,,,NL,MAN,KG,,,14,,,,,,,,12,24,,,,,,,,,,,,,,,
Top Trace Mg/Mn,,,NL,MAN,LIT,,,6.9,,,,,,,,,,8,,,,,,,,,,2.7,,,,
Vivifos (DCM),,,NL,MAN,KG,,,4,,,,,,,,30,,,,,,,,,,,,,,,,
NK Mix 15+31,,,NL,MAN,KG,,,15,,,,,,,,,31,,,,,,,,,,,,,,,
Bietenmix,,,NL,MAN,KG,,,15.5,,,,,,,,,,1.4,0.2,6.3,18.5,,,,,,,,,,,
Topmix (18+0+18),,,NL,MAN,KG,,,18,,,,,,,,,18,,,,,,,,,,,,,,,
Orgaplus Sierteelt,,,NL,MAN,KG,,,3,,,,,,,,3,3,0.95,10,3.5,,,6.4,,2.7,,8.2,27.9,22,,,
Orgaplus Bloembollen,,,NL,MAN,KG,,,3,,,,,,,,3,3,0.95,10,3.5,,,6.4,,2.7,,8.2,27.9,22,,,
Foliplus Borium,,,NL,MAN,LIT,1.36,,,,,,,,,,,,,,,,,,,11,,,,,,,
Foliplus Duo Ca+Mg,,,NL,MAN,LIT,1.46,,8.3,,,,,,,,,,2.5,9.05,,,,,,,,,,,,,
Foliplus Duo Ca+B,,,NL,MAN,LIT,1.44,,,,,,,,,,,,,11.8,,,,,,6.95,,,,,,,
Foliplus Koper,,,NL,MAN,LIT,1.35,,,,,,,,,,,,,,,,,25,,,,,,,,,
Foliplus Magnesium,,,NL,MAN,LIT,1.35,,7.05,,,,,,,,,,10,,,,,,,,,,,,,,
Foliplus Magnesiumnitraat,,,NL,MAN,LIT,1.48,,6.75,,,,,,,,,,13.5,,,,,,,,,,,,,,
Foliplus Duo Mn+Mg,,,NL,MAN,LIT,1.46,,6.5,,,,,,,,,,7.4,,,,,,,,,,2.75,,,,
Foliplus Kali,,,NL,MAN,LIT,1.5,,3,,,,,,,,,33,,,,,,,,,,,,,,,
Foliplus Protein,,,NL,MAN,LIT,1.31,,21,,,,,,,,,,3,,8,,,,,,,,,,,,
Foliplus Total N,,,NL,MAN,LIT,1.13,,17.4,,,,,,,,,,,,,,,,,,,,,,,,
Foliplus Amino NPK,,,NL,MAN,LIT,1.38,,14.5,,,,,,,,14.5,14.5,,,,,,,,,,,,,,,
Top Trace Efficiency N,,,NL,MAN,LIT,1.18,,18.4,,,,,,,,,,,,,,,,,,,,,,,,
Foliplus Mangaancarbonaat,,,NL,MAN,LIT,1.49,,,,,,,,,,,,,,,,,,,,,,26,,,,
NP 20+8 + 6MgO + 12SO3,,,NL,MAN,KG,,,20,,,,,,,,8,,6,,12,,,,,,,,,,,,
Power Start 13+14 + 7 SO3,,,NL,MAN,LIT,,,13,,,,,,,,14,,,,7,,,,,,,,,,,,
Power Leaf Kali PlusS,,,NL,MAN,LIT,,,,,,,,,,,,25,,,42,,,,,,,,,,,,
Foliplus Mangaannitraat,,,NL,MAN,LIT,1.4,,7.1,,,,,,,,,,,,,,,,,,,,14.2,,,,
CuForte,,,NL,MAN,LIT,1.53,,,,,,,,,,,,,,,,,25,,,,,,,,,
HF Koper 435,,,NL,MAN,LIT,1.33,,,,,,,,,,,,,,,,,33,,,,,,,,,
Aardappel-Optimaal,,,NL,MAN,KG,,,20,,,,,,,,8,,6,,12,,,,,,,,,,,,
Aardappelmix,,,NL,MAN,KG,,,13,,,,,,,,,15.5,6,,21,,,,,,,,,,,,
Activ'N 13-0-17,,,NL,MAN,KG,,,13,,,,,,,,,17,3,3,25,,,,,,,,,,,,
K-Algo 29,,,NL,MAN,KG,,,,,,,,,,,,29,10,9,10,,,,,,,,,,,,
PhysiomaG,,,NL,KLK,KG,,,,,,,,,,,,,11,34,,,,,,,,,,,,,
Activ'N 13-5-17,,,NL,MAN,KG,,,13,,,,,,,,5,17,3,4,20,,,,,,,,,,,,
Foliplus Calcium Xtra,,,NL,MAN,LIT,1.4,,8,,,,,,,,,,,14,,,,,,,,,,,,,
PRP Evb,,,NL,MAN,LIT,1.1,,,,,,,,,,,3.5,,,,,,0.02,,,,,,,,,
FytoFert-S,,,NL,MAN,LIT,1.4,,,,,,,,,,,,,,25,,,,,,,,,,,,
Vivifos (DCM),,,NL,MOR,KG,,,4,2,2,,,,,,30,,,,,,,,,,,,,,,,
Quickstart PK,,,NL,MAN,LIT,1.4,,,,,,,,,,25,13,,,,,,,,,,,,,,,
Quickstart NP,,,NL,MAN,LIT,1.27,,14,,,,,,,,20,,,,,,,,,,,,,,,,
N-xt FertiPhos,,,NL,MAN,LIT,1.21,,6,,,,,,,,21,,,,1.2,,,,,,,,,,,,
KaliZwavel HF,,,NL,MAN,LIT,1.47,,,,,,,,,,,24,,,43,,,,,,,,,,,,
Top Trace Total K,,,NL,MAN,LIT,1.15,,7,,,,,,,,,10,,,,,,0.023,,0.012,,,0.07,,,,
Krypton,,,NL,MAN,LIT,1.26,,28,,,,,,,,,,,,,,,,,,,,,,,,
Crop Fuel,,,NL,MAN,LIT,1.35,,2.5,,,,,,,,13.5,13.5,0.025,,0.15,,,0.005,,0.12,,,0.14,0.045,,,
Hydrokalk,,,NL,KLK,KG,,,,,,,,,,,,,4,,,,,,,,,,,,,,
Aspergemix,,,NL,MAN,KG,,,,,,,,,,,,,5,,10,40,,,,,,,,,,,
Calcifert S,,,NL,KLK,KG,,,,,,,,,,,,,,46,55,,,,,,,,,,,,
APP 11-37,,,NL,MAN,LIT,1.43,,11,,,,,,,,37,,,,,,,,,,,,,,,,
APP 10-34,,,NL,MAN,LIT,1.38,,10,,,,,,,,34,,,,,,,,,,,,,,,,
Top Mix Pootgoed,,,NL,MAN,KG,,,12.6,,,,,,,,21.6,,5.4,10.8,20.1,,,,,,,,,,,,
Top Trace Zwavel 600 SC,,,NL,MAN,KG,,,,,,,,,,,,,,,,,,,,,,,,,,,
Foliplus Zwavel,,,NL,MAN,LIT,,,4.2,,,,,,,,,,3.2,,100,,,0.6,,,,,,,,,
Zink Fl,,,NL,MAN,LIT,1.74,,,,,,,,,,,,,,,,,,,,,,,40.2,,,
Polysulphate,,,NL,MAN,LIT,1.8,,,,,,,,,,,14,6,17,48,4,5,,,,,,,,,,
Pootaardappel Blend 12-0-31,,,NL,MAN,KG,,,12,,,,,,,,,31,,,,,,,,,,,,,,,
Uien Blend 15-8-21,,,NL,MAN,KG,,,15,,,,,,,,8,22,,,,,,,,,,,,,,,
P-Focus,,,NL,MAN,LIT,1.28,,10,,,,,,,,18,4,,,1,,,,,,,,0.5,0.5,,,
NPK 12-0-22,,,NL,MAN,KG,,,12,,,,,,,,,22,,,,,,,,,,,,,,,
Power Basic 140 22+0+0 + 10 SO3,,,NL,MAN,KG,,,22,,,,,,,,,,,,10,,,,,,,,,,,,
Powerstart 470 Granulaat,,,NL,MAN,KG,,,12,,,,,,,,43,,,,11,,,,,,,,,0.7,,,
Salpeterzuur,,,NL,MAN,LIT,1.32,,8.4,,,,,,,,,,,,,,,,,,,,,,,,
ACS Magnesiumfosfiet Plus,,,NL,MAN,LIT,1.36,,9.8,,,,,,,,26,,7,,,,,,,,,,,,,,
Kali TS 340,,,NL,MAN,LIT,1.5,,2.9,,,,,,,,,22.7,,,38.5,,,,,,,,,,,,
Brassitrel Pro,,,NL,MAN,LIT,1.54,,4.5,,,,,,,,,,7.7,8.1,,,,,,3.9,0.3,,4.5,,,,
Gramitrel,,,NL,MAN,LIT,1.64,,3.9,,,,,,,,,,15.2,,,,,3,,,,,9.1,4.8,,,
Thiotrac 300,,,NL,MAN,LIT,1.32,,15.2,,,,,,,,,,,,56.8,,,,,,,,,,,,
Stimplex,,,NL,MAN,LIT,1.12,,0.5,,,,,,,,2.5,3,,,0.2,,,,,,,,,,,,
Maxi Start Microgranulaat 10+31 + 20SO3,,,NL,MAN,KG,,,10,,,,,,,,31,,,,20,,,,,,,,,,,,
Top Mix NK 23+0+9,,,NL,MAN,KG,,,23,,,,,,,,,9,,,,,,,,,,,,,,,
Top Mix Pootgoed,,,NL,MAN,KG,,,12.6,,,,,,,,21.6,,5.4,10.8,20.1,,,,,,,,,,,,
Top Mix Wortel,,,NL,MAN,KG,,,5.3,,,,,,,,9,21.8,8.1,21.8,29.4,,,,,0.1,,,,,,,
Top Mix Zomergraan,,,NL,MAN,KG,,,15,,,,,,,,,23.7,4,0.7,7.3,,,,,,,,,,,,
Korrelgips,,,NL,KLK,KG,,,,,,,,,,,,,,33,,,,,,,,,,,,,
Nitrabor,,,NL,MAN,KG,,,15.4,,,,,,,,,,,26,,,,,,0.3,,,,,,,
N-xt Calcium N9 Ca B,,,NL,MAN,LIT,,,,,,,,,,,,,,,,,,,,,,,,,,,
N-xt FertiPhos,,,NL,MAN,LIT,1.24,,,,,,,,,,21,,,,,,,,,,,,,,,,
N-xt N 18 Ca Mg Mn,,,NL,MAN,LIT,,,,,,,,,,,,,,,,,,,,,,,,,,,
N-xt NP 18-14 B Zn,,,NL,MAN,LIT,,,,,,,,,,,,,,,,,,,,,,,,,,,
N-xt NP 22-5 B Zn,,,NL,MAN,LIT,,,,,,,,,,,,,,,,,,,,,,,,,,,
N-xt NP 22-8 B Zn,,,NL,MAN,LIT,,,,,,,,,,,,,,,,,,,,,,,,,,,
Top Mix Pootgoed Midden,,,NL,MAN,KG,,,,,,,,,,,,,,,,,,,,,,,,,,,
