Name,From,To,Country,Type,Unit,SpecificWeight,Volume,N,Norg,Nmin,N-slow,N-ureum,NH4,NO3,N-Amide,P2O5,K2O,MgO,CaO,SO3,Na2O,Cl,Cu,Co,B,Mo,Fe,Mn,Zn,SiO2,Se,Pb,CODE_NL_CL022
Dolokal Supra,,,NL,KLK,KG,,,,,,,,,,,,,19,30,,,,,,,,,,,,,,2508
Emkal,,,NL,KLK,KG,,,,,,,,,,,,,,53,,,,,,,,,,,,,,2509
Ferkal,,,NL,KLK,KG,,,0.48,,,,,,,,1.43,0.04,1.36,23,0.89,,,0.0001,,,,,,0.0041,,,,2510
Gebluste Poederkalk Eclat,,,NL,KLK,KG,,,,,,,,,,,,,1,72,,,,,,,,,,,,,,2511
Limkal,,,NL,KLK,KG,,,,,,,,,,,,,,50,,,,,,,,,,,,,,2512
Magkal,,,NL,KLK,KG,,,,,,,,,,,,,17,,,,,,,,,,,,,,,2513
Magnesiakalk,,,NL,KLK,KG,,,,,,,,,,,,,5,,,,,,,,,,,,,,,2514
Vitakal,,,NL,KLK,KG,,,,,,,,,,,,,,,,,,,,,,,,,,,,2516
Winterwijkse Kleidolomiet,,,NL,KLK,KG,,,,,,,,,,,,,5,39,,,,,,,,,,,,,,2517
Winterswijk Ultradolomiet,,,NL,KLK,KG,,,,,,,,,,,,,10,27,,,,,,,,,,,,,,2518
Koolzure landbouwkalk,,,NL,KLK,KG,,,,,,,,,,,,,1,,,,,,,,,,,,,,,2519
Kalkmergel,,,NL,KLK,KG,,,,,,,,,,,,,,,,,,,,,,,,,,,,2521
Fosma kencica PK 8+15,,,NL,MAN,KG,,,,,,,,,,,8,16,6,30,,,,,,,,,,,,,,2522
Fosma kencica PK 5+10,,,NL,MAN,KG,,,,,,,,,,,5,18,5,30,,,,,,,,,,,,,,2525
Stima kencica,,,NL,MAN,KG,,,,,,,,,,,,,,,,,,,,,,,,,,,,2526
Koper kencica,,,NL,MAN,KG,,,,,,,,,,,3,3,8,,,,,0.3,0.02,,,,,,,,,2527
Unika,,,NL,MAN,KG,,,14,,,,,,,,,24,,12,,,,,,,,,,,,,,2528
Miramag,,,NL,KLK,KG,,,,,,,,,,,,,19,,,,,0.0008,,0.002,,,0.044,0.005,,,,2532
Branntkalk,,,NL,KLK,KG,,,,,,,,,,,,,,80,,,,,,,,,,,,,,2533
Copter,,,NL,MAN,LIT,1.49,,9.2,,,,,,,,,,,,,,,20,,,,,,,,,,2534
Foliar extra,,,NL,MAN,LIT,1.24,,12,,,,,,,,8,6,,,,,,,,,,,,,,,,2535
Human 15,,,NL,MAN,LIT,1.36,,,,,,,,,,,,1.2,,9.3,,,,,,,,15,,,,,2536
Boron,,,NL,MAN,LIT,1.35,,,,,,,,,,,,,,,,,,,15,,,,,,,,2537
Magnor,,,NL,MAN,LIT,1.35,,5,,,,,,,,,,10,,,,,,,,,,,,,,,2538
Phos plus,,,NL,MAN,LIT,1.36,,,,,,,,,,43,,6,,,,,,,,,,,,,,,2539
Sulpha N,,,NL,MAN,LIT,1.33,,14,,,,,,,,,,,,33,,,,,,,,,,,,,2540
Vercal,,,NL,MAN,LIT,1.28,,,,,,,,,,,,,15,,,,,,,,,,,,,,2541
Zinic,,,NL,MAN,LIT,1.32,,,,,,,,,,,,,,8,,,,,,,,,14,,,,2542
Natriummolybdaat,,,NL,MAN,KG,,,,,,,,,,,0.001,,,,,,,,,,39.8,,,,,,,2543
Molytrac 250,,,NL,MAN,LIT,1.61,,,,,,,,,,,,,,,,,,,,15.5,,,,,,,2545
HydroPlus Molybdeen,,,NL,MAN,LIT,1.38,,,,,,,,,,,,,,,,,,,,4.1,,,,,,,2546
EPSO Microtop,,,NL,MAN,KG,,,,,,,,,,,,,15,,31,,,,,1,,,1,,,,,2548
Masterbietenzout,25-May-11,,NL,MAN,KG,,,,,,,,,,,,,,,,50,,,,0.2,,,,,,,,2552
Entec 20+5+5,24-Feb-12,,NL,MAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2708
Mangaan-Nitro 7.5%,24-Feb-12,,NL,MAN,LIT,1.4,,7.5,,,,,,,,,,,,,,,,,,,,18,,,,,2903
Duwa-Dolomitique,24-Feb-12,,NL,KLK,KG,,,,,,,,,,,,,19,31,,,,,,,,,,,,,,3011
Duwa-MAG,24-Feb-12,,NL,KLK,KG,,,,,,,,,,,,,18,31,,,,,,,,,,,,,,3012
Duwa-Mixte,24-Feb-12,,NL,KLK,KG,,,,,,,,,,,,,5,48,,,,,,,,,,,,,,3013
Dologran 5,24-Feb-12,,NL,KLK,KG,,,,,,,,,,,,,5,,,,,,,,,,,,,,,3014
Dologran 15,24-Feb-12,,NL,KLK,KG,,,,,,,,,,,,,15,,,,,,,,,,,,,,,3015
Natte Kalkslib,24-Feb-12,,NL,KLK,LIT,1.1,,,,,,,,,,,,0.004,5.67,,,,,,,,1.41,0.006,,,,,3016
Lithomagnesium,24-Feb-12,,NL,KLK,KG,,,,,,,,,,,,,10,30,,,,,,,,,0.001,,,,,3017
Physiomax,24-Feb-12,,NL,KLK,KG,,,,,,,,,,,,,3,36,,,,,,,,,,,,,,3018
Ankal Wit,24-Feb-12,,NL,KLK,KG,,,,,,,,,,,,,,,,,,,,,,,,,,,,3019
Nedcal,24-Feb-12,,NL,KLK,KG,,,,,,,,,,,,,1,,,,,,,,,,,,,,,3020
ACS Koper 500,24-Feb-12,,NL,MAN,LIT,,,,,,,,,,,,,,,,,,50,,,,,,,,,,3021
ACS Zwavel 800,24-Feb-12,,NL,MAN,LIT,1.36,,,,,,,,,,,,,,58.8,,,,,,,,,,,,,3022
Agro-Force,24-Feb-12,,NL,MAN,LIT,,,,,,,,,,,,0.5,,,,,,,,0.1,,,,,,,,3023
Ammoniumthiosulfaat (ATS),24-Feb-12,,NL,MAN,KG,,,18,,,,,,,,,,,,43,,,,,,,,,,,,,3024
Marathon K,24-Feb-12,,NL,MAN,KG,,,7,,,,,,,,6,14,2,,16,,,,,,,,,,,,,3025
Photrel,24-Feb-12,,NL,MAN,KG,,,,,,,,,,,,,13.3,,36.3,,,,,5,0.4,,7,,,,,3026
NPK 12+5+17+5MgO,24-Feb-12,,NL,MAN,KG,,,12,,,,,,,,5,17,5,,,,,,,,,,,,,,,3027
Marathon N,24-Feb-12,,NL,MAN,KG,,,14,,,,,,,,5,8,2,,10,,,,,,,,,,,,,3028
Marathon P,24-Feb-12,,NL,MAN,KG,,,6,,,,,,,,12,8,2,,11,,,,,,,,,,,,,3029
Marathon NK,24-Feb-12,,NL,MAN,KG,,,12,,,,,,,,,14,2.5,,16,,,,,,,,,,,,,3031
Phosfik,24-Feb-12,,NL,MAN,LIT,1.38,,3,,,,,,,,27,18,,,,,,0.02,,0.01,0.001,,0.01,0.01,,,,3034
KAS 26+35SO3 (Kalkammonsalpeter),24-Feb-12,,NL,MAN,KG,,,26,,,,,,,,,,,,35,,,,,,,,,,,,,3039
Maïsstarter 20+15 + 0.15B,24-Feb-12,,NL,MAN,KG,,,20,,,,,,,,15,,,,,,,,,0.15,,,,,,,,3045
Maïsstarter 20+15 + 3MgO,24-Feb-12,,NL,MAN,KG,,,20,,,,,,,,15,,3,,,,,,,,,,,,,,,3046
Maïsstarter 20+20 + 0.2B,24-Feb-12,,NL,MAN,KG,,,20,,,,,,,,20,,,,,,,,,0.2,,,,,,,,3047
NK 9+9+13.5SO3,24-Feb-12,,NL,MAN,KG,,,9,,,,,,,,,9,,,13.5,,,,,,,,,,,,,3049
NP 12+52,24-Feb-12,,NL,MAN,KG,,,12,,,,,,,,52,,,,,,,,,,,,,,,,,3050
NP 20+20 + 0.1B,24-Feb-12,,NL,MAN,KG,,,20,,,,,,,,20,,,,,,,,,0.1,,,,,,,,3051
NP 20+25 + 3MgO + 0.6B,24-Feb-12,,NL,MAN,KG,,,20,,,,,,,,25,,3,,,,,,,0.6,,,,,,,,3052
NP 20+40 + 0.1B,24-Feb-12,,NL,MAN,KG,,,20,,,,,,,,40,,,,,,,,,0.1,,,,,,,,3053
NP 26+12 + 0.2B,24-Feb-12,,NL,MAN,KG,,,26,,,,,,,,12,,,,,,,,,0.2,,,,,,,,3054
NP 26+8 + 10SO3,24-Feb-12,,NL,MAN,KG,,,26,,,,,,,,8,,,,10,,,,,,,,,,,,,3055
NPK 12+9+20+17.5 SO3,24-Feb-12,,NL,MAN,KG,,,12,,,,,,,,9,20,,,17.5,,,,,,,,,,,,,3057
NPK 13+13+21,24-Feb-12,,NL,MAN,KG,,,13,,,,,,,,13,21,,,5,,,,,,,,,,,,,3058
NPK 14+10+20+14 SO3,24-Feb-12,,NL,MAN,KG,,,14,,,,,,,,10,20,,,14,,,,,,,,,,,,,3059
NPK 14+8+24,24-Feb-12,,NL,MAN,KG,,,14,,,,,,,,8,24,,,,,,,,,,,,,,,,3060
Wuxal Suspensie Magnesium,24-Feb-12,,NL,MAN,LIT,1.5,,15,,,,,,,,,,8,,,,,0.05,,0.02,0.001,0.1,0.05,0.05,,,,3061
Wuxal Suspensie Nr. 1,24-Feb-12,,NL,MAN,LIT,1.5,,20,,,,,,,,,15,4,,,,,0.05,,0.02,0.001,0.1,0.05,0.05,,,,3063
Zintrac 700,24-Feb-12,,NL,MAN,LIT,1.75,,,,,,,,,,,,,,,,,,,,,,,40,,,,3064
Flex NP 20+6 Micro nutriënten,24-Feb-12,,NL,MAN,LIT,1.21,,19.5,,,,,,,,5.8,,,,2,,,,,,,,,,,,,3065
Flex Aardappel N 18 Ca B,24-Feb-12,,NL,MAN,LIT,1.24,,17.7,,,,,,,,,,,7.8,,,,,,0.64,,,,,,,,3067
Flex Aardappel NP 9+18 S B Zn,24-Feb-12,,NL,MAN,LIT,1.28,,8.8,,,,,,,,17.7,,,,2,,,,,0.5,,,,0.5,,,,3068
Flex Aardappel NP 7+18 S B Zn,24-Feb-12,,NL,MAN,LIT,1.25,,7.8,,,,,,,,17.7,,,,0.8,,,,,0.5,,,,0.3,,,,3070
Flex N 24,24-Feb-12,,NL,MAN,LIT,1.22,,23.7,,,,,,,,,,,,7.5,,,,,,,,,,,,,3071
Flex NP 15+10 Na B,24-Feb-12,,NL,MAN,LIT,1.2,,14.7,,,,,,,,9.7,,,,0.3,5.1,,,,0.3,,,,,,,,3072
Flex Blad N 18 Mg S,24-Feb-12,,NL,MAN,LIT,1.2,,17.7,,,,,,,,0.1,,1.5,,6.1,,,,,,,,,,,,,3073
Flex NP 13+18 B Zn,24-Feb-12,,NL,MAN,LIT,1.27,,12.7,,,,,,,,17.8,,,,2,,,,,0.5,,,,0.3,,,,3074
Stikstofmagnesia,24-Feb-12,,NL,MAN,KG,,,22,,,,,,,,,,7,10.2,,,,,,,,,,,,,,3079
Kencica Zwavel-N,24-Feb-12,,NL,MAN,KG,,,26,,,,,,,,,,,,35,,,,,,,,,,,,,3080
N-Zomerzout,24-Feb-12,,NL,MAN,KG,,,20,,,,,,,,,,,,,11,,,,,,,,,,,,3081
Flex Maïs NP 18+14 B,24-Feb-12,,NL,MAN,LIT,1.26,,17.7,,,,,,,,13.7,,,,1.1,,,,,0.5,,,,,,,,3082
Krista-K,24-Feb-12,,NL,MAN,KG,,,13.5,,,,,,,,,38,,,,,,,,,,,,,,,,3083
Multi-K Extra,24-Feb-12,,NL,MAN,KG,,,13,,,,,,,,,38,2.5,,,,,,,,,,,,,,,3084
Kalisalpeter + MgO,24-Feb-12,,NL,MAN,KG,,,12,,,,,,,,,42,4,,,,,,,,,,,,,,,3085
Magnisal,24-Feb-12,,NL,MAN,KG,,,11,,,,,,,,,,16,,,,,,,,,,,,,,,3086
Esta Kieseriet (fijn),24-Feb-12,,NL,MAN,KG,,,,,,,,,,,,,27,,54,,1.6,,,,,,,,,,,3087
HydroComplex Sprinter,24-Feb-12,,NL,MAN,KG,,,20,,,,,,,,10,10,2,,8.2,,,,,0.015,,,0.02,0.02,,,,3088
HydroComplex Grower,24-Feb-12,,NL,MAN,KG,,,16,,,,,,,,6,21,2,,9.5,,,,,0.015,,,0.02,0.02,,,,3089
NPK Extra,24-Feb-12,,NL,MAN,KG,,,15,,,,,,,,7,15,3,,,,,,,,,,,,,,,3090
Stimana Balans,24-Feb-12,,NL,MAN,KG,,,14,,,,,,,,7,5,6,6,,6,,,0.02,,,,,,,,,3091
Flex Blad N 18 Ca Mg Mn,24-Feb-12,,NL,MAN,LIT,1.2,,17.7,0.2,,,,,,,0.2,,1.5,6.6,,,,,,,,,0.3,,,,,3092
HydroComplex Partner,24-Feb-12,,NL,MAN,KG,,,12.4,,,,,,,,11.4,17.7,2.6,,20,,,,,0.015,,,0.02,0.02,,,,3093
NPK 12+12+17,24-Feb-12,,NL,MAN,KG,,,12,,,,,,,,12,17,2,,6,,,,,,,,,,,,,3094
NPK Super,24-Feb-12,,NL,MAN,KG,,,12,,,,,,,,8,16,5,5,,,,,,,,,,,,,,3095
NPK 5+12+24,24-Feb-12,,NL,MAN,KG,,,5,,,,,,,,12,24,,,6.6,,,,,,,,,,,,,3096
Stimafos 10,24-Feb-12,,NL,MAN,KG,,,20,,,,,,,,10,,,,,6,,,,0.05,,,,,,,,3097
Stimafos 20,24-Feb-12,,NL,MAN,KG,,,20,,,,,,,,20,,4,,,,,,,0.05,,,,,,,,3098
Kencica Groeistart,24-Feb-12,,NL,MAN,KG,,,20,,,,,,,,10,,6,,,,,,,0.05,,,,,,,,3099
Vloeibare Maïs-Map,24-Feb-12,,NL,MAN,LIT,1.35,,18.8,,,,,,,,18.8,,,,,,,,,0.2,,,,,,,,3100
Stimafos 18/12,24-Feb-12,,NL,MAN,KG,,,18,,,,,,,,12,,4,,,5,,0.3,0.02,,,,,,,,,3101
Stimafos 18/6,24-Feb-12,,NL,MAN,KG,,,18,,,,,,,,6,,5,5,,6,,0.3,0.02,,,,,,,,,3102
Eco 14+14+7 MgO,24-Feb-12,,NL,MAN,KG,,,14,,,,,,,,14,,7,,,8,,0.3,0.02,,,,,,,,,3103
Eco 16+9+7 MgO,24-Feb-12,,NL,MAN,KG,,,16,,,,,,,,9,,7,,,8,,0.2,0.02,,,,,,,,,3104
Stimana Plus,24-Feb-12,,NL,MAN,KG,,,14,,,,,,,,7,,6,6,,6,,,,,,,,,,,,3105
NP 11.5+5.6+2.2B,24-Feb-12,,NL,MAN,KG,,,11.5,,,,,,,,5.6,,,7.4,38.9,,,,,2.2,,,,,,,,3106
Hydran,24-Feb-12,,NL,MAN,KG,,,22,,,,,,,,,15,,,13,,,,,,,0.5,0.02,0.02,,,,3107
NK 15+20+5MgO,24-Feb-12,,NL,MAN,KG,,,15,,,,,,,,,20,5,,19,,,,,,,,,,,,,3108
NK Speciaal,24-Feb-12,,NL,MAN,KG,,,15,,,,,,,,,15,5,6,,,,,,,,,,,,,,3109
PK 16+36,24-Feb-12,,NL,MAN,KG,,,,,,,,,,,16,36,,10.5,4,,,,,,,,,,,,,3111
PK 10+30,24-Feb-12,,NL,MAN,KG,,,,,,,,,,,10,30,,,10,,,,,,,,,,,,,3112
PK 7+40,24-Feb-12,,NL,MAN,KG,,,,,,,,,,,7,40,,10.8,9.8,,,,,,,,,,,,,3113
Borium-Vloeibaar,24-Feb-12,,NL,MAN,LIT,1.33,,,,,,,,,,,,,,,,,,,11.3,,,,,,,,3114
Wuxal Folibor,24-Feb-12,,NL,MAN,LIT,1.36,,,,,,,,,,,,,,,,,,,11,,,,,,,,3115
Boronat 32,24-Feb-12,,NL,MAN,KG,,,,,,,,,,,0.03,0.5,1,11.2,6.7,8.3,3,,,10,,0.15,0.004,,,,,3116
HydroPlus Borium,24-Feb-12,,NL,MAN,LIT,1.38,,,,,,,,,,,,,,,,,,,5.7,,,,,,,,3117
Weidezout Kobalt 0.3%,24-Feb-12,,NL,MAN,KG,,,,,,,,,,,,,0.17,0.25,0.53,50,58.8,,0.3,,,,,,,,,3118
Coptrel 500,24-Feb-12,,NL,MAN,LIT,1.523,,,,,,,,,,,,,,,,,32.8,,,,,,,,,,3119
HydroPlus Kopernitraat,24-Feb-12,,NL,MAN,LIT,1.38,,5.3,,,,,,,,,,,,,,,12,,,,,,,,,,3120
Fertichel Koper,24-Feb-12,,NL,MAN,LIT,,,,,,,,,,,,,,,,,,5,,,,,,,,,,3121
Weidezout Koper 3.5%,24-Feb-12,,NL,MAN,KG,,,,,,,,,,,,,0.17,0.27,0.22,47.5,55.2,3.5,,,,,,,,,,3122
Thomaskali 8+15+6 MgO,24-Feb-12,,NL,MAN,KG,,,,,,,,,,,8,15,6,20,10,,,,,,,,,,,,,3123
Zinflow 700,24-Feb-12,,NL,MAN,LIT,1.759,,,,,,,,,,,,,,,,,,,,,,,40,,,,3126
Wuxal Aminocal,24-Feb-12,,NL,MAN,LIT,1.35,,,,,,,,,,,,,15,,,,,,,,,0.5,0.5,,,,3127
HydroPlus Zinknitraat,24-Feb-12,,NL,MAN,LIT,1.46,,6,,,,,,,,,,,,,,,,,,,,,14,,,,3128
Sporumix A,24-Feb-12,,NL,MAN,KG,,,,,,,,,,,,,25,,,,,1.2,0.05,0.07,0.025,,0.6,0.1,,,,3129
Sporumix B,24-Feb-12,,NL,MAN,KG,,,,,,,,,,,,,25,,,,,0.7,0.05,0.6,0.025,,,0.3,,,,3130
Wuxal Microplant,24-Feb-12,,NL,MAN,LIT,1.5,,5,,,,,,,,,10,3,,,,,0.5,,0.3,0.01,1,1.5,1,,,,3131
Entec 14+7+17,24-Feb-12,,NL,MAN,KG,,,14,,,,,,,,7,17,2,,27,,,,,0.02,,,,0.01,,,,3135
Kalkstikstof,24-Feb-12,,NL,MAN,KG,,,21,,,,,,,,,,,60,,,,,,,,,,,,,,3136
Entec 25+15,24-Feb-12,,NL,MAN,KG,,,25,,,,,,,,15,,,,,,,,,,,,,,,,,3137
IJzerchelaat,24-Feb-12,,NL,MAN,LIT,1.31,,,,,,,,,,,,,,,,,,,,,6,,,,,,3138
Basfoliar 36 Extra,24-Feb-12,,NL,MAN,LIT,1.35,,27,,,,,,,,,,3,,,,,0.2,,,0.005,0.02,1,0.01,,,,3139
Basfoliar Combi-stipp,24-Feb-12,,NL,MAN,LIT,1.5,,9,,,,,,,,,,1,15,,,,,,0.2,,,0.4,0.01,,,,3140
Basfoliar 12+4+6,24-Feb-12,,NL,MAN,LIT,1.2,,12,,,,,,,,4,6,,,,,,0.01,,0.01,0.001,,0.01,0.005,,,,3141
Nutribor,24-Feb-12,,NL,MAN,LIT,0.65,,6,,,,,,,,,,5,,22.5,,,,,8,0.04,,1,0.1,,,,3142
Selon,24-Feb-12,,NL,MAN,LIT,,,5.8,,,,,,,,11.2,9.1,,,33,,,,,,,,,,,,,3143
Aspergezout,24-Feb-12,,NL,MAN,KG,2.17,,,,,,,,,,,,10,,,38.5,,,,,,,,,,,,3144
Caltrac,24-Feb-12,,NL,MAN,LIT,1.686,,,,,,,,,,,,,33,,,,,,,,,,,,,,3145
Copper Pholate,24-Feb-12,,NL,MAN,LIT,1.32,,,,,,,,,,,,,,,,,7,,,,,,,,,,3146
Ferleaf,24-Feb-12,,NL,MAN,LIT,1.31,,,,,,,,,,,,,,,,,,,,,7.6,,,,,,3147
Fosforzuur 59%,24-Feb-12,,NL,MAN,LIT,1.42,,,,,,,,,,42.5,,,,,,,,,,,,,,,,,3148
Kalksalpeter vloeibaar,24-Feb-12,,NL,MAN,LIT,1.5,,8.7,,8.7,,,,,,,,,17.5,,,,,,,,,,,,,,3149
Kopersulfaat (pentahydraat),24-Feb-12,,NL,MAN,KG,,,,,,,,,,,,,,,,,0.015,25.4,,,,0.03,,0.013,,,,3150
Phosamco,24-Feb-12,,NL,MAN,LIT,1.172,,8.5,,8.5,,,,,,3.4,6,,,,,,0.1,,0.02,0.003,,0.11,0.06,,,,3151
Super Spoor Maxi Fe 95,24-Feb-12,,NL,MAN,KG,,,,,,,,,,,,,,,,,,,,,,6,,,,,,3152
Tenso Fe 6%,24-Feb-12,,NL,MAN,KG,,,,,,,,,,,,,,,,,,,,,,6,,,,,,3153
Wuxal 8+8+6,24-Feb-12,,NL,MAN,LIT,1.235,,8,,8,,,,,,8,6,,,,,,0.007,,0.01,0.001,0.015,0.013,0.005,,,,3155
Zwavelzuur 44.1%,24-Feb-12,,NL,MAN,LIT,1.35,,,,,,,,,,,,,,35.3,,,,,,,,,,,,,3156
Flex Blad N 18 Mg Ca Mn,24-Feb-12,,NL,MAN,LIT,1.25,,17.7,,,,,,,,0.2,,3.2,4,,,,,,,,,0.4,,,,,3157
NPK 22+8+8 + 3MgO,24-Feb-12,,NL,MAN,KG,,,22,,22,,,,,,8,8,3,,,,,,,,,,,,,,,3158
Aardbeimix,24-Feb-12,,NL,MAN,KG,,,15.4,,,,,,,,14.7,7.2,3.7,,27.1,,,,,,,,,,,,,3159
Preimix chloorarm,24-Feb-12,,NL,MAN,KG,,,20,,,,,,,,,10,4,,13,,,,,,,,,,,,,3160
